,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
165,11,В,англ. Светлана Николаевна,Игра с математическими объектами,1,0,0,12,15,12,55,10,False,
166,11,В,англ. Татьяна Петровна,Игра с математическими объектами,1,0,0,13,5,13,45,,False,
167,11,В,англ. Светлана Николаевна,Игра с математическими объектами,1,0,0,13,5,13,45,,False,
168,8,А,англ. Татьяна Петровна,физическая культура,1,0,1,8,0,8,40,,True,
169,8,А,англ. Светлана Николаевна,физическая культура,1,0,1,8,0,8,40,,True,
170,8,А,англ. Татьяна Петровна,физическая культура,1,0,1,8,50,9,30,,True,
171,8,А,англ. Светлана Николаевна,физическая культура,1,0,1,8,50,9,30,,True,
172,8,Б,англ. Татьяна Петровна,Проектная деятельность,1,0,1,8,0,8,40,12,False,
173,8,Б,англ. Светлана Николаевна,Проектная деятельность,1,0,1,8,0,8,40,12,False,
174,8,Б,англ. Татьяна Петровна,Проектная деятельность,1,0,1,8,50,9,30,,False,
175,8,Б,англ. Светлана Николаевна,Проектная деятельность,1,0,1,8,50,9,30,,False,
176,8,В,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,8,0,8,40,13,True,
177,8,В,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,8,0,8,40,15,True,
178,8,В,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,8,50,9,30,,True,
179,8,В,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,8,50,9,30,,True,
180,9,А,англ. Татьяна Петровна,Виды текстовых задач и способы их решения,1,0,1,8,0,8,40,11,False,
181,9,А,англ. Светлана Николаевна,Виды текстовых задач и способы их решения,1,0,1,8,0,8,40,11,False,
182,9,А,англ. Татьяна Петровна,Виды текстовых задач и способы их решения,1,0,1,8,50,9,30,,False,
183,9,А,англ. Светлана Николаевна,Виды текстовых задач и способы их решения,1,0,1,8,50,9,30,,False,
184,9,Б,англ. Татьяна Петровна,химия,1,0,1,8,0,8,40,2,True,
185,9,Б,англ. Светлана Николаевна,химия,1,0,1,8,0,8,40,2,True,
186,9,Б,англ. Татьяна Петровна,химия,1,0,1,8,50,9,30,,True,
187,9,Б,англ. Светлана Николаевна,химия,1,0,1,8,50,9,30,,True,
188,9,В,англ. Татьяна Петровна,литература,1,0,1,8,0,8,40,5,True,
189,9,В,англ. Светлана Николаевна,литература,1,0,1,8,0,8,40,5,True,
190,9,В,англ. Татьяна Петровна,литература,1,0,1,8,50,9,30,,True,
191,9,В,англ. Светлана Николаевна,литература,1,0,1,8,50,9,30,,True,
192,10,А,англ. Татьяна Петровна,география,1,0,1,8,0,8,40,7,True,
193,10,А,англ. Светлана Николаевна,география,1,0,1,8,0,8,40,7,True,
194,10,А,англ. Татьяна Петровна,география,1,0,1,8,50,9,30,,True,
195,10,А,англ. Светлана Николаевна,география,1,0,1,8,50,9,30,,True,
196,10,Б,англ. Татьяна Петровна,геометрия,1,0,1,8,0,8,40,10,True,
197,10,Б,англ. Светлана Николаевна,геометрия,1,0,1,8,0,8,40,10,True,
198,10,Б,англ. Татьяна Петровна,геометрия,1,0,1,8,50,9,30,,True,
199,10,Б,англ. Светлана Николаевна,геометрия,1,0,1,8,50,9,30,,True,
200,10,В,англ. Татьяна Петровна,английский язык,1,0,1,8,0,8,40,8,True,
201,10,В,англ. Светлана Николаевна,английский язык,1,0,1,8,0,8,40,9,True,
202,10,В,англ. Татьяна Петровна,английский язык,1,0,1,8,50,9,30,,True,
203,10,В,англ. Светлана Николаевна,английский язык,1,0,1,8,50,9,30,,True,
204,11,А,англ. Татьяна Петровна,физика,1,0,1,8,0,8,40,4,True,
205,11,А,англ. Светлана Николаевна,физика,1,0,1,8,0,8,40,4,True,
206,11,А,англ. Татьяна Петровна,физика,1,0,1,8,50,9,30,,True,
207,11,А,англ. Светлана Николаевна,физика,1,0,1,8,50,9,30,,True,
208,11,Б,англ. Татьяна Петровна,физика,1,0,1,8,0,8,40,14,True,
209,11,Б,англ. Светлана Николаевна,физика,1,0,1,8,0,8,40,14,True,
210,11,Б,англ. Татьяна Петровна,физика,1,0,1,8,50,9,30,,True,
211,11,Б,англ. Светлана Николаевна,физика,1,0,1,8,50,9,30,,True,
212,11,В,англ. Татьяна Петровна,экономика,1,0,1,8,0,8,40,6,False,
213,11,В,англ. Светлана Николаевна,экономика,1,0,1,8,0,8,40,6,False,
214,11,В,англ. Татьяна Петровна,экономика,1,0,1,8,50,9,30,,False,
215,11,В,англ. Светлана Николаевна,экономика,1,0,1,8,50,9,30,,False,
216,8,А,англ. Татьяна Петровна,русский язык,1,0,1,9,45,10,25,5,True,
217,8,А,англ. Светлана Николаевна,русский язык,1,0,1,9,45,10,25,5,True,
218,8,А,англ. Татьяна Петровна,русский язык,1,0,1,10,45,11,25,,True,
219,8,А,англ. Светлана Николаевна,русский язык,1,0,1,10,45,11,25,,True,
220,8,Б,англ. Татьяна Петровна,физическая культура,1,0,1,9,45,10,25,,True,
221,8,Б,англ. Светлана Николаевна,физическая культура,1,0,1,9,45,10,25,,True,
222,8,Б,англ. Татьяна Петровна,физическая культура,1,0,1,10,45,11,25,,True,
223,8,Б,англ. Светлана Николаевна,физическая культура,1,0,1,10,45,11,25,,True,
224,8,В,англ. Татьяна Петровна,география,1,0,1,9,45,10,25,7,True,
225,8,В,англ. Светлана Николаевна,география,1,0,1,9,45,10,25,7,True,
226,8,В,англ. Татьяна Петровна,география,1,0,1,10,45,11,25,,True,
227,8,В,англ. Светлана Николаевна,география,1,0,1,10,45,11,25,,True,
228,9,А,англ. Татьяна Петровна,химия,1,0,1,9,45,10,25,2,True,
229,9,А,англ. Светлана Николаевна,химия,1,0,1,9,45,10,25,2,True,
230,9,А,англ. Татьяна Петровна,химия,1,0,1,10,45,11,25,,True,
231,9,А,англ. Светлана Николаевна,химия,1,0,1,10,45,11,25,,True,
232,9,Б,англ. Татьяна Петровна,алгебра,1,0,1,9,45,10,25,11,True,
233,9,Б,англ. Светлана Николаевна,алгебра,1,0,1,9,45,10,25,11,True,
234,9,Б,англ. Татьяна Петровна,алгебра,1,0,1,10,45,11,25,,True,
235,9,Б,англ. Светлана Николаевна,алгебра,1,0,1,10,45,11,25,,True,
236,9,В,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,9,45,10,25,13,True,
237,9,В,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,9,45,10,25,15,True,
238,9,В,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,10,45,11,25,,True,
239,9,В,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,10,45,11,25,,True,
240,10,А,англ. Татьяна Петровна,физика,1,0,1,9,45,10,25,14,True,
241,10,А,англ. Светлана Николаевна,физика,1,0,1,9,45,10,25,14,True,
242,10,А,англ. Татьяна Петровна,физика,1,0,1,10,45,11,25,,True,
243,10,А,англ. Светлана Николаевна,физика,1,0,1,10,45,11,25,,True,
244,10,Б,англ. Татьяна Петровна,английский язык,1,0,1,9,45,10,25,8,True,
245,10,Б,англ. Светлана Николаевна,английский язык,1,0,1,9,45,10,25,9,True,
246,10,Б,англ. Татьяна Петровна,английский язык,1,0,1,10,45,11,25,,True,
247,10,Б,англ. Светлана Николаевна,английский язык,1,0,1,10,45,11,25,,True,
248,10,В,англ. Татьяна Петровна,экономика,1,0,1,9,45,10,25,6,False,
249,10,В,англ. Светлана Николаевна,экономика,1,0,1,9,45,10,25,6,False,
250,10,В,англ. Татьяна Петровна,экономика,1,0,1,10,45,11,25,,False,
251,10,В,англ. Светлана Николаевна,экономика,1,0,1,10,45,11,25,,False,
252,11,А,англ. Татьяна Петровна,русский язык,1,0,1,9,45,10,25,12,True,
253,11,А,англ. Светлана Николаевна,русский язык,1,0,1,9,45,10,25,12,True,
254,11,А,англ. Татьяна Петровна,русский язык,1,0,1,10,45,11,25,,True,
255,11,А,англ. Светлана Николаевна,русский язык,1,0,1,10,45,11,25,,True,
256,11,Б,англ. Татьяна Петровна,обществознание,1,0,1,9,45,10,25,4,True,
257,11,Б,англ. Светлана Николаевна,обществознание,1,0,1,9,45,10,25,4,True,
258,11,Б,англ. Татьяна Петровна,обществознание,1,0,1,10,45,11,25,,True,
259,11,Б,англ. Светлана Николаевна,обществознание,1,0,1,10,45,11,25,,True,
260,11,В,англ. Татьяна Петровна,алгебра и начала анализа,1,0,1,9,45,10,25,10,True,
261,11,В,англ. Светлана Николаевна,алгебра и начала анализа,1,0,1,9,45,10,25,10,True,
262,11,В,англ. Татьяна Петровна,алгебра и начала анализа,1,0,1,10,45,11,25,,True,
263,11,В,англ. Светлана Николаевна,алгебра и начала анализа,1,0,1,10,45,11,25,,True,
264,8,А,англ. Татьяна Петровна,Проектная деятельность,1,0,1,11,40,12,20,7,False,
265,8,А,англ. Светлана Николаевна,Проектная деятельность,1,0,1,11,40,12,20,7,False,
266,8,А,англ. Татьяна Петровна,Проектная деятельность,1,0,1,12,30,13,10,,False,
267,8,А,англ. Светлана Николаевна,Проектная деятельность,1,0,1,12,30,13,10,,False,
268,8,Б,англ. Татьяна Петровна,химия,1,0,1,11,40,12,20,2,True,
269,8,Б,англ. Светлана Николаевна,химия,1,0,1,11,40,12,20,2,True,
270,8,Б,англ. Татьяна Петровна,химия,1,0,1,12,30,13,10,,True,
271,8,Б,англ. Светлана Николаевна,химия,1,0,1,12,30,13,10,,True,
272,8,В,англ. Татьяна Петровна,физическая культура,1,0,1,11,40,12,20,,True,
273,8,В,англ. Светлана Николаевна,физическая культура,1,0,1,11,40,12,20,,True,
274,8,В,англ. Татьяна Петровна,физическая культура,1,0,1,12,30,13,10,,True,
275,8,В,англ. Светлана Николаевна,физическая культура,1,0,1,12,30,13,10,,True,
276,9,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,11,40,12,20,13,True,
